iter	Logloss
0	0.6302760496
1	0.5751292174
2	0.5320886938
3	0.4968739636
4	0.4601735555
5	0.4292510679
6	0.401307819
7	0.3782817186
8	0.3570024114
9	0.3401788727
10	0.3235790695
11	0.3090181053
12	0.2945729639
13	0.2825920473
14	0.2732136215
15	0.2634234803
16	0.2553147182
17	0.2468915105
18	0.2396469433
19	0.2336567926
20	0.2277321863
21	0.2231964859
22	0.2188035798
23	0.2149860816
24	0.2116643908
25	0.2086971326
26	0.206052157
27	0.2033116764
28	0.2002815651
29	0.1980889896
30	0.1958610462
31	0.1932765807
32	0.1914477272
33	0.189297568
34	0.1878779463
35	0.1859210786
36	0.184042336
37	0.1821042157
38	0.1807693017
39	0.1792461996
40	0.1780507362
41	0.1759216217
42	0.17453168
43	0.1732558123
44	0.1721817011
45	0.1712442106
46	0.1700618666
47	0.1690532596
48	0.1678761929
49	0.1668733164
50	0.1662179238
51	0.1656047831
52	0.1642742321
53	0.1636824528
54	0.1628354146
55	0.1620790896
56	0.1609390182
57	0.160405055
58	0.1599494314
59	0.1584638741
60	0.1579247923
61	0.1570936162
62	0.1560989267
63	0.1552213001
64	0.1541669737
65	0.1533574613
66	0.1524058341
67	0.1521180437
68	0.1518207518
69	0.1515194696
70	0.1506865266
71	0.1502298764
72	0.1500483826
73	0.1493735362
74	0.1492154196
75	0.1490832102
76	0.1489231426
77	0.1479926854
78	0.1477613457
79	0.1476537898
80	0.1473912914
81	0.1471790559
82	0.1470628976
83	0.1469559566
84	0.1468793629
85	0.1468062027
86	0.1467078515
87	0.1465993788
88	0.1464674129
89	0.1463525215
90	0.146249613
91	0.146140258
92	0.1460418887
93	0.1459635415
94	0.1458849545
95	0.1457701923
96	0.14568555
97	0.1456070567
98	0.1447819294
99	0.1446951498
