iter	Passed	Remaining
0	60	6000
1	61	2996
2	61	1993
3	62	1489
4	62	1186
5	62	984
6	63	840
7	63	732
8	64	648
9	64	580
10	64	525
11	65	479
12	66	441
13	66	409
14	67	379
15	67	353
16	67	331
17	68	310
18	68	292
19	69	276
20	69	261
21	70	248
22	70	236
23	71	226
24	71	215
25	72	205
26	73	198
27	73	190
28	74	182
29	74	174
30	75	167
31	75	161
32	76	154
33	76	148
34	77	143
35	77	138
36	78	133
37	78	128
38	79	124
39	80	120
40	80	116
41	81	111
42	81	108
43	81	104
44	82	100
45	82	97
46	83	93
47	83	90
48	84	87
49	84	84
50	84	81
51	85	78
52	85	75
53	86	73
54	87	71
55	87	68
56	87	66
57	88	63
58	88	61
59	88	59
60	89	57
61	89	54
62	90	52
63	90	50
64	91	49
65	91	47
66	91	45
67	92	43
68	92	41
69	93	40
70	93	38
71	94	36
72	94	35
73	95	33
74	95	31
75	96	30
76	96	28
77	97	27
78	97	25
79	97	24
80	98	23
81	98	21
82	99	20
83	99	18
84	100	17
85	100	16
86	101	15
87	101	13
88	102	12
89	102	11
90	103	10
91	103	9
92	104	7
93	104	6
94	105	5
95	105	4
96	106	3
97	106	2
98	106	1
99	107	0
